description,icon,temp,day,city,exception_occurred,image_url,coord_lat,coord_lon,weather_main,weather_description,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,cloudiness,sunrise,sunset,timezone,country,wave_period,wavelength,wave_depth
light rain,10n,25.67,2025-01-25,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,26.59,25.08,25.67,1010,88,1.21,68,0.42,26,15:00:00,7:00:00,28800,MY,0.909090909,1.289023506,0.205154463
light rain,10n,24.91,2025-01-25,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,25.81,24.39,24.91,1009,90,0.94,245,0.34,65,18:00:00,10:00:00,28800,MY,1.031421246,1.659274939,0.264081808
overcast clouds,04d,24.28,2025-01-26,Terengganu,FALSE,http://openweathermap.org/img/wn/04d@2x.png,5.3296461,103.1383265,Clouds,overcast clouds,25.14,24.28,24.28,1009,91,0.94,253,0,94,21:00:00,13:00:00,28800,MY,1.031421246,1.659274939,0.264081808
light rain,10d,26.62,2025-01-26,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,26.62,26.62,26.62,1011,83,0.7,41,0.97,100,0:00:00,16:00:00,28800,MY,1.195228609,2.228169203,0.354624143
moderate rain,10d,27.26,2025-01-26,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,moderate rain,30.22,27.26,27.26,1009,79,2.58,48,3.34,100,3:00:00,19:00:00,28800,MY,0.622572806,0.604542032,0.096215853
light rain,10d,26.88,2025-01-26,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,29.56,26.88,26.88,1007,81,3.18,53,2.72,80,6:00:00,22:00:00,28800,MY,0.560772154,0.490477498,0.078061918
light rain,10n,25.09,2025-01-26,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,25.93,25.09,25.09,1009,87,2.39,71,2.99,86,9:00:00,1:00:00,28800,MY,0.646846227,0.652601859,0.103864812
moderate rain,10n,24.63,2025-01-26,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,moderate rain,25.52,24.63,24.63,1011,91,1.89,78,3.39,100,12:00:00,4:00:00,28800,MY,0.727392967,0.825247853,0.131342275
moderate rain,10n,24.65,2025-01-26,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,moderate rain,25.57,24.65,24.65,1009,92,2.58,76,5.47,100,15:00:00,7:00:00,28800,MY,0.622572806,0.604542032,0.096215853
moderate rain,10n,24.52,2025-01-26,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,moderate rain,25.43,24.52,24.52,1008,92,2.98,71,6.11,100,18:00:00,10:00:00,28800,MY,0.579284446,0.52339545,0.083300973
moderate rain,10d,25.04,2025-01-27,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,moderate rain,25.9,25.04,25.04,1009,88,5.98,69,7.05,99,21:00:00,13:00:00,28800,MY,0.40893041,0.260822482,0.041511187
moderate rain,10d,26.08,2025-01-27,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,moderate rain,26.08,26.08,26.08,1011,84,6.63,71,4.19,96,0:00:00,16:00:00,28800,MY,0.388367819,0.23525165,0.037441463
light rain,10d,26.16,2025-01-27,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,26.16,26.16,26.16,1009,78,6.7,64,1.76,95,3:00:00,19:00:00,28800,MY,0.386333705,0.232793797,0.037050284
light rain,10d,24.67,2025-01-27,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,25.33,24.67,24.67,1008,82,5.8,64,0.82,100,6:00:00,22:00:00,28800,MY,0.415227399,0.268916973,0.042799466
light rain,10n,24.69,2025-01-27,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,25.36,24.69,24.69,1010,82,5.04,76,0.87,100,9:00:00,1:00:00,28800,MY,0.445435403,0.309467945,0.049253353
light rain,10n,24.27,2025-01-27,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,24.89,24.27,24.27,1012,82,4.15,76,0.43,100,12:00:00,4:00:00,28800,MY,0.490880694,0.375835769,0.05981612
light rain,10n,24.11,2025-01-27,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,24.74,24.11,24.11,1011,83,4.08,70,0.51,100,15:00:00,7:00:00,28800,MY,0.495073771,0.382283932,0.060842377
light rain,10n,23.95,2025-01-27,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,24.62,23.95,23.95,1009,85,4.09,67,0.99,89,18:00:00,10:00:00,28800,MY,0.494468176,0.381349252,0.060693619
light rain,10d,24.22,2025-01-28,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,24.94,24.22,24.22,1011,86,4.8,61,1.35,90,21:00:00,13:00:00,28800,MY,0.456435465,0.324941342,0.051716021
light rain,10d,25.63,2025-01-28,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,26.36,25.63,25.63,1013,81,6.57,58,1.62,89,0:00:00,16:00:00,28800,MY,0.390137157,0.237400067,0.037783394
light rain,10d,26.45,2025-01-28,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,26.45,26.45,26.45,1012,75,6.14,55,0.97,93,3:00:00,19:00:00,28800,MY,0.403567156,0.254025805,0.040429463
light rain,10d,26.01,2025-01-28,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,26.01,26.01,26.01,1010,74,5.54,50,0.44,74,6:00:00,22:00:00,28800,MY,0.424859289,0.281537625,0.044808105
light rain,10n,24.36,2025-01-28,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,24.86,24.36,24.36,1012,77,4.32,53,0.13,83,9:00:00,1:00:00,28800,MY,0.481125224,0.361045936,0.057462245
overcast clouds,04n,24.66,2025-01-28,Terengganu,FALSE,http://openweathermap.org/img/wn/04n@2x.png,5.3296461,103.1383265,Clouds,overcast clouds,25.11,24.66,24.66,1014,74,3.49,52,0,100,12:00:00,4:00:00,28800,MY,0.535287728,0.446910728,0.071128052
light rain,10n,24.31,2025-01-28,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,24.86,24.31,24.31,1013,79,2.75,38,0.22,100,15:00:00,7:00:00,28800,MY,0.603022689,0.567170343,0.090267964
light rain,10d,24.12,2025-01-29,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,24.73,24.12,24.12,1012,82,2.61,25,0.36,100,21:00:00,13:00:00,28800,MY,0.618984461,0.597593273,0.095109923
light rain,10d,25.05,2025-01-29,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,25.73,25.05,25.05,1014,81,4.58,27,0.46,100,0:00:00,16:00:00,28800,MY,0.467269314,0.340549878,0.054200196
light rain,10d,25.4,2025-01-29,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,26.03,25.4,25.4,1012,78,5.65,26,0.78,100,3:00:00,19:00:00,28800,MY,0.420703162,0.276056361,0.043935734
light rain,10d,24.31,2025-01-29,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,24.86,24.31,24.31,1011,79,7.09,45,0.92,100,6:00:00,22:00:00,28800,MY,0.375557883,0.219988497,0.035012257
light rain,10n,22.89,2025-01-29,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,23.58,22.89,22.89,1013,90,3.02,60,1.46,100,9:00:00,1:00:00,28800,MY,0.575435338,0.51646306,0.082197649
light rain,10n,22.83,2025-01-29,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,23.44,22.83,22.83,1015,87,1.96,22,2.41,100,12:00:00,4:00:00,28800,MY,0.714285714,0.795774715,0.12665148
light rain,10n,21.55,2025-01-29,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,22.14,21.55,21.55,1012,91,2.96,272,1.49,100,15:00:00,7:00:00,28800,MY,0.581238194,0.526931906,0.083863818
overcast clouds,04n,21.02,2025-01-29,Terengganu,FALSE,http://openweathermap.org/img/wn/04n@2x.png,5.3296461,103.1383265,Clouds,overcast clouds,21.5,21.02,21.02,1011,89,2.01,267,0,100,18:00:00,10:00:00,28800,MY,0.705345616,0.775979325,0.123500945
light rain,10d,21.19,2025-01-30,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,21.66,21.19,21.19,1012,88,1.66,255,0.13,100,21:00:00,13:00:00,28800,MY,0.776150526,0.939589423,0.149540301
overcast clouds,04d,23.02,2025-01-30,Terengganu,FALSE,http://openweathermap.org/img/wn/04d@2x.png,5.3296461,103.1383265,Clouds,overcast clouds,23.57,23.02,23.02,1013,84,1.59,281,0,100,0:00:00,16:00:00,28800,MY,0.793051586,0.980954995,0.156123836
light rain,10d,23.41,2025-01-30,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,24.1,23.41,23.41,1011,88,2.3,291,0.15,100,3:00:00,19:00:00,28800,MY,0.659380473,0.678138453,0.107929087
light rain,10d,24.34,2025-01-30,Terengganu,FALSE,http://openweathermap.org/img/wn/10d@2x.png,5.3296461,103.1383265,Rain,light rain,24.97,24.34,24.34,1009,82,2.64,346,0.99,100,6:00:00,22:00:00,28800,MY,0.615457455,0.59080244,0.094029129
moderate rain,10n,22.04,2025-01-30,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,moderate rain,22.73,22.04,22.04,1011,93,2.05,139,5.43,100,9:00:00,1:00:00,28800,MY,0.698430296,0.760838265,0.121091171
light rain,10n,21.08,2025-01-30,Terengganu,FALSE,http://openweathermap.org/img/wn/10n@2x.png,5.3296461,103.1383265,Rain,light rain,21.72,21.08,21.08,1012,95,2.11,215,2.49,100,12:00:00,4:00:00,28800,MY,0.688428391,0.739203053,0.11764782
