description,icon,temp,day,city,exception_occurred,image_url,coord_lat,coord_lon,weather_main,weather_description,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,cloudiness,sunrise,sunset,timezone,country,wave_period,wavelength,wave_depth
broken clouds,04n,13.42,2025-02-13,rawalpindi,False,http://openweathermap.org/img/wn/04n@2x.png,33.5914237,73.0535122,Clouds,broken clouds,11.39,13.42,13.42,1016,22,3.15,314,0,63,15:00:00,01:00:00,18000,PK,0.563436169819011,0.4951487118414522,0.07880536505515161
broken clouds,04n,12.92,2025-02-13,rawalpindi,False,http://openweathermap.org/img/wn/04n@2x.png,33.5914237,73.0535122,Clouds,broken clouds,10.92,11.92,12.92,1016,25,2.33,329,0,70,18:00:00,04:00:00,18000,PK,0.6551217820804184,0.6694070567813625,0.1065394420273509
broken clouds,04n,11.29,2025-02-13,rawalpindi,False,http://openweathermap.org/img/wn/04n@2x.png,33.5914237,73.0535122,Clouds,broken clouds,9.26,10.22,11.29,1015,30,1.21,326,0,56,21:00:00,07:00:00,18000,PK,0.9090909090909091,1.2890235060335327,0.20515446274688232
broken clouds,04n,10.2,2025-02-14,rawalpindi,False,http://openweathermap.org/img/wn/04n@2x.png,33.5914237,73.0535122,Clouds,broken clouds,8.09,10.2,10.2,1015,31,1.98,346,0,76,00:00:00,10:00:00,18000,PK,0.7106690545187014,0.7877365870204921,0.12537217167865028
overcast clouds,04d,11.92,2025-02-14,rawalpindi,False,http://openweathermap.org/img/wn/04d@2x.png,33.5914237,73.0535122,Clouds,overcast clouds,9.92,11.92,11.92,1016,29,1.55,335,0,100,03:00:00,13:00:00,18000,PK,0.8032193289024989,1.0062699627745644,0.16015283866046945
broken clouds,04d,19.56,2025-02-14,rawalpindi,False,http://openweathermap.org/img/wn/04d@2x.png,33.5914237,73.0535122,Clouds,broken clouds,18.02,19.56,19.56,1016,17,2.12,279,0,84,06:00:00,16:00:00,18000,PK,0.6868028197434451,0.7357162463681957,0.11709287732251303
scattered clouds,03d,22.19,2025-02-14,rawalpindi,False,http://openweathermap.org/img/wn/03d@2x.png,33.5914237,73.0535122,Clouds,scattered clouds,20.8,22.19,22.19,1012,13,3.74,278,0,44,09:00:00,19:00:00,18000,PK,0.5170876899950192,0.4170370166579077,0.06637350265340311
broken clouds,04d,19.37,2025-02-14,rawalpindi,False,http://openweathermap.org/img/wn/04d@2x.png,33.5914237,73.0535122,Clouds,broken clouds,17.83,19.37,19.37,1011,18,3.83,291,0,73,12:00:00,22:00:00,18000,PK,0.510976130307596,0.4072371912011944,0.0648138119905294
overcast clouds,04n,14.12,2025-02-14,rawalpindi,False,http://openweathermap.org/img/wn/04n@2x.png,33.5914237,73.0535122,Clouds,overcast clouds,12.16,14.12,14.12,1013,22,2.43,322,0,99,15:00:00,01:00:00,18000,PK,0.6415002990995842,0.6418594412759565,0.1021551028492706
overcast clouds,04n,13.03,2025-02-14,rawalpindi,False,http://openweathermap.org/img/wn/04n@2x.png,33.5914237,73.0535122,Clouds,overcast clouds,11.02,13.03,13.03,1013,24,1.75,354,0,100,18:00:00,04:00:00,18000,PK,0.7559289460184544,0.8912676813146138,0.14184965709927286
broken clouds,04n,11.64,2025-02-14,rawalpindi,False,http://openweathermap.org/img/wn/04n@2x.png,33.5914237,73.0535122,Clouds,broken clouds,9.51,11.64,11.64,1012,25,1.76,17,0,56,21:00:00,07:00:00,18000,PK,0.7537783614444091,0.8862036603980539,0.1410436931384816
